Framework,Pod,CPU_Usage_Median,CPU_Usage_StdDev,Filtered_CPU_Usage_Median,Filtered_CPU_Usage_StdDev
oakestra,node-netmanager-c8x7r,6.29459688878e-05,0.00012424077065063794,,
oakestra,node-netmanager-g4r46,0.0014639690970619,0.0005861410777135562,,
oakestra,node-netmanager-jw5bq,0.0003324773552824,0.00021027670347127208,,
oakestra,node-netmanager-svw6g,0.0026490324761257,0.00656623206486229,,
oakestra,node-netmanager-xf6mq,0.0005360934474296,0.0003566647733861232,,
oakestra,oakestra-agent-7f6cb876cf-8jjl7,0.0031794654322966,0.0010822665792626417,,
oakestra,oakestra-controller-manager-d74f6ddf5-2s675,0.0022537381737488,0.0008830496214379576,,
oakestra,prometheus-kube-prometheus-stack-prometheus-0,0.0464139814999969,0.018651083215444647,,
ocm,alertmanager-kube-prometheus-stack-alertmanager-0,0.0003704702827841,0.00017938315580632208,,
ocm,calico-kube-controllers-658d97c59c-jhtlv,0.0027969603927268,0.0010392139642793534,,
ocm,calico-node-6bglp,0.042110554700296,0.01083895694749156,,
ocm,calico-node-8s89v,0.0493102943716018,0.013140171746823607,,
ocm,calico-node-fszxf,0.0517342567929259,0.012783120252546364,,
ocm,calico-node-n2292,0.0355652818155345,0.010389652969270215,,
ocm,calico-node-sh9fs,0.0443220718357028,0.009624290846147042,,
ocm,calico-node-xwk8l,0.05128287683627085,0.0110593829460805,,
ocm,cert-manager-7ddd8cdb9f-nflbq,0.00137673942873375,0.0010948138754055966,,
ocm,cert-manager-cainjector-57cd76c845-kmk9r,0.00178018709624,0.0006905365952767249,,
ocm,cert-manager-webhook-cf8f9f895-rxnpk,0.0007076171602471,0.00042881358021507813,,
ocm,coredns-76f75df574-cppbr,0.0023067659637942,0.0010646366542964867,,
ocm,coredns-76f75df574-qfcbg,0.0024053090742437,0.0009685981034398889,,
ocm,etcd-kubernetes-1,0.0479867005415975,0.014979877415555598,,
ocm,klusterlet-84c5d6fd77-69w75,0.0053298945295284,0.0027107239144705583,,
ocm,klusterlet-registration-agent-d4cdf65cc-646fn,0.005338575158439,0.0017384423755281515,,
ocm,klusterlet-work-agent-658d45bf67-5ftw9,0.004494018071906251,0.001930261552782724,,
ocm,kube-controller-manager-kubernetes-1,0.02717626352062735,0.008621096872495203,,
ocm,kube-multus-ds-9zcf8,1.2871895386e-06,1.2317410954025226e-06,,
ocm,kube-multus-ds-kn6rr,2.4128055239e-06,3.0541759273915185e-06,,
ocm,kube-multus-ds-l266r,1.3794462508e-06,1.6629233853154834e-06,,
ocm,kube-multus-ds-thtw6,1.2157382847e-06,1.4632424058662072e-06,,
ocm,kube-multus-ds-xlb9r,6.317002025152535e-07,7.483050986074214e-07,,
ocm,kube-multus-ds-z29rg,1.5458410057e-06,2.6323228739035902e-06,,
ocm,kube-prometheus-stack-grafana-7cf5785ff8-5xrqh,0.0046376034712517,0.0022198206583921264,,
ocm,kube-prometheus-stack-kube-state-metrics-65594f9476-hkvdh,0.001760630341258,0.0005401801641866668,,
ocm,kube-prometheus-stack-operator-75bc89f54b-c2p2r,0.0038891922251645,0.0013703474180419039,,
ocm,kube-prometheus-stack-prometheus-node-exporter-46nqv,0.0014959752897436,0.00039240390754178,,
ocm,kube-prometheus-stack-prometheus-node-exporter-5l26g,0.0012613848155188,0.0005713426491706804,,
ocm,kube-prometheus-stack-prometheus-node-exporter-7xdtt,0.0010612711450744,0.0002496769951563782,,
ocm,kube-prometheus-stack-prometheus-node-exporter-9j5sw,0.0011003060508244,0.0003162778967719411,,
ocm,kube-prometheus-stack-prometheus-node-exporter-l9wpn,0.0012103899875865,0.0005778867732142192,,
ocm,kube-prometheus-stack-prometheus-node-exporter-mlnpr,0.0010885211661879,0.00032732910141592124,,
ocm,kube-proxy-79mh2,0.00042235762862375,0.0003377024010288344,,
ocm,kube-proxy-8tk6n,0.0005182894164998,0.0002368660559837639,,
ocm,kube-proxy-9k8wd,0.0005200198092381,0.0005057260690722628,,
ocm,kube-proxy-bxpjd,0.0003840236468173,0.00022544458283232815,,
ocm,kube-proxy-dq5zr,0.0003043423137876,0.0005425829086263324,,
ocm,kube-proxy-mvv25,0.0004189678138357,0.0003163199023943508,,
ocm,kube-scheduler-kubernetes-1,0.0062110734854211,0.001823708161348998,,
ocm,prometheus-kube-prometheus-stack-prometheus-0,0.0600997739326367,0.027127848142865126,,
karmada,overhead-server,,,0.0492126684510231,1.1202773318281645
kubernetes,overhead-server,,,0.0440140015164314,1.4432839009377818
oakestra,overhead-server,,,0.0104162762711718,2.400765795125291
ocm,overhead-server,,,0.0279598759575025,0.8197894907545323
