DeploymentName,PodName,Deployed_to_PodScheduled,PodScheduled_to_Init,Init_to_ContainersReady,ContainersReady_to_Ready,Delete_to_CleanUp
deploy-test-52,deploy-test-52-7c578967fb-ql62h,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-70,deploy-test-70-7467857bb8-k2jd5,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-74,deploy-test-74-6b9594b79b-j5f84,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-96,deploy-test-96-6b97568fd4-g4n6k,5000.0,0.0,3000.0,0.0,1000.0
deploy-test-35,deploy-test-35-b489b57c-xp4nd,3000.0,0.0,1000.0,0.0,1000.0
deploy-test-56,deploy-test-56-5b79ff6f96-26qqb,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-71,deploy-test-71-6448564669-jshqg,4000.0,0.0,3000.0,0.0,1000.0
deploy-test-13,deploy-test-13-766987756f-kn5l8,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-44,deploy-test-44-68544bb8b5-ght4k,4000.0,0.0,1000.0,0.0,1000.0
deploy-test-86,deploy-test-86-54dc58b7c5-74tlr,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-89,deploy-test-89-54d6f4fb48-t5rj5,6000.0,0.0,2000.0,0.0,1000.0
deploy-test-98,deploy-test-98-7cf5f9cf98-5wpcj,6000.0,0.0,2000.0,0.0,1000.0
deploy-test-1,deploy-test-1-b65b8967d-vspr6,0.0,0.0,2000.0,0.0,1000.0
deploy-test-3,deploy-test-3-c958f595b-qrxrb,0.0,0.0,2000.0,0.0,1000.0
deploy-test-20,deploy-test-20-6b99c9487f-cw5mq,2000.0,0.0,2000.0,0.0,1000.0
deploy-test-34,deploy-test-34-5df97579cb-6crkh,3000.0,1000.0,2000.0,0.0,1000.0
deploy-test-40,deploy-test-40-5869b5dddf-kfhfn,3000.0,0.0,2000.0,0.0,1000.0
deploy-test-47,deploy-test-47-74bc68f67d-z9z6p,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-48,deploy-test-48-775fff5cf7-xvch7,4000.0,0.0,1000.0,0.0,0.0
deploy-test-53,deploy-test-53-74644646bf-hk9gn,4000.0,0.0,2000.0,0.0,0.0
deploy-test-54,deploy-test-54-785d6c86c8-bhzjp,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-68,deploy-test-68-665b8d76bc-8zlrd,5000.0,0.0,1000.0,0.0,1000.0
deploy-test-2,deploy-test-2-7df5989c69-w79fw,0.0,0.0,2000.0,0.0,1000.0
deploy-test-4,deploy-test-4-674dd49567-7qw58,0.0,0.0,2000.0,0.0,1000.0
deploy-test-61,deploy-test-61-5d7648494b-nz978,4000.0,0.0,2000.0,0.0,1000.0
deploy-test-91,deploy-test-91-864466c767-7z7cf,6000.0,0.0,1000.0,0.0,1000.0
deploy-test-97,deploy-test-97-7b9664bb57-zzwml,6000.0,0.0,1000.0,0.0,1000.0
deploy-test-5,deploy-test-5-5c48bbdcdb-7qdcq,0.0,0.0,3000.0,0.0,1000.0
deploy-test-16,deploy-test-16-df8ff995b-tt9dm,1000.0,0.0,2000.0,0.0,1000.0
deploy-test-22,deploy-test-22-576bdc8b7c-6mnqj,2000.0,0.0,2000.0,0.0,2000.0
deploy-test-62,deploy-test-62-7f856647bf-jffn8,4000.0,0.0,3000.0,0.0,2000.0
deploy-test-82,deploy-test-82-5c97d48755-c6kv9,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-83,deploy-test-83-7bf8f97cd6-vr6qw,5000.0,0.0,1000.0,0.0,2000.0
deploy-test-85,deploy-test-85-7fb855d84d-8kq6t,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-87,deploy-test-87-8d7454478-2nrfc,5000.0,0.0,2000.0,0.0,1000.0
deploy-test-90,deploy-test-90-77d7c85958-62djv,6000.0,0.0,1000.0,0.0,1000.0
