framework,namespace,pod,container,type,value
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5l26g,POD,transmit_bytes,186243.90444005447
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-5l26g,POD,transmit_packets,2667.490265604809
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7xdtt,POD,received_bytes,408923.85531129834
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7xdtt,POD,received_packets,5390.259072300558
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7xdtt,POD,transmit_bytes,433766.01390392083
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-7xdtt,POD,transmit_packets,5379.1248680051
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9j5sw,POD,received_bytes,444412.8711667417
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9j5sw,POD,received_packets,5501.609620957975
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9j5sw,POD,transmit_bytes,422249.259793749
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-9j5sw,POD,transmit_packets,5485.48274793538
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-l9wpn,POD,received_bytes,252467.6717418176
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-l9wpn,POD,received_packets,3916.573788410933
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-l9wpn,POD,transmit_bytes,272946.7750636435
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-l9wpn,POD,transmit_packets,3931.7634317663505
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-mlnpr,POD,received_bytes,3414.878811658307
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-mlnpr,POD,received_packets,26.469526799681205
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-mlnpr,POD,transmit_bytes,35430.750084957945
karmada,kube-prometheus-stack,kube-prometheus-stack-prometheus-node-exporter-mlnpr,POD,transmit_packets,25.384929746369227
karmada,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,received_bytes,44123.32939332647
karmada,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,received_packets,14.712879706855615
karmada,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,transmit_bytes,1213.1941282835178
karmada,kube-prometheus-stack,prometheus-kube-prometheus-stack-prometheus-0,POD,transmit_packets,12.676523797222352
karmada,kube-system,calico-kube-controllers-658d97c59c-jhtlv,POD,received_bytes,1673.4595954177319
karmada,kube-system,calico-kube-controllers-658d97c59c-jhtlv,POD,received_packets,1.0972715703310056
karmada,kube-system,calico-kube-controllers-658d97c59c-jhtlv,POD,transmit_bytes,92.75212042743424
karmada,kube-system,calico-kube-controllers-658d97c59c-jhtlv,POD,transmit_packets,1.043488716773811
karmada,kube-system,calico-node-6bglp,POD,received_bytes,402410.8361897852
karmada,kube-system,calico-node-6bglp,POD,received_packets,5286.721388509493
karmada,kube-system,calico-node-6bglp,POD,transmit_bytes,427074.63572819665
karmada,kube-system,calico-node-6bglp,POD,transmit_packets,5275.775953526528
karmada,kube-system,calico-node-8s89v,POD,received_bytes,161739.74606497868
karmada,kube-system,calico-node-8s89v,POD,received_packets,2496.9404397729613
karmada,kube-system,calico-node-8s89v,POD,transmit_bytes,174934.7837842903
karmada,kube-system,calico-node-8s89v,POD,transmit_packets,2506.7943519859814
karmada,kube-system,calico-node-fszxf,POD,received_bytes,248394.24727752703
karmada,kube-system,calico-node-fszxf,POD,received_packets,3852.8118107211594
karmada,kube-system,calico-node-fszxf,POD,transmit_bytes,268584.8126525211
karmada,kube-system,calico-node-fszxf,POD,transmit_packets,3867.851662712821
karmada,kube-system,calico-node-n2292,POD,received_bytes,443199.6756990454
karmada,kube-system,calico-node-n2292,POD,received_packets,5504.243582458217
karmada,kube-system,calico-node-n2292,POD,transmit_bytes,421545.26568946335
karmada,kube-system,calico-node-n2292,POD,transmit_packets,5488.601043805912
karmada,kube-system,calico-node-sh9fs,POD,received_bytes,3328.371148518254
karmada,kube-system,calico-node-sh9fs,POD,received_packets,26.17060983459655
karmada,kube-system,calico-node-sh9fs,POD,transmit_bytes,33520.17855149199
karmada,kube-system,calico-node-sh9fs,POD,transmit_packets,25.05688045062386
karmada,kube-system,calico-node-xwk8l,POD,received_bytes,261795.95650794092
karmada,kube-system,calico-node-xwk8l,POD,received_packets,3981.517831917123
karmada,kube-system,calico-node-xwk8l,POD,transmit_bytes,282533.2365135492
karmada,kube-system,calico-node-xwk8l,POD,transmit_packets,3995.6002839506873
karmada,kube-system,coredns-76f75df574-cppbr,POD,received_bytes,98.11724503948153
karmada,kube-system,coredns-76f75df574-cppbr,POD,received_packets,1.049766238451473
karmada,kube-system,coredns-76f75df574-cppbr,POD,transmit_bytes,97.18022144734248
karmada,kube-system,coredns-76f75df574-cppbr,POD,transmit_packets,1.0346936418592259
karmada,kube-system,coredns-76f75df574-qfcbg,POD,received_bytes,99.41881387278828
karmada,kube-system,coredns-76f75df574-qfcbg,POD,received_packets,1.067411032236904
karmada,kube-system,coredns-76f75df574-qfcbg,POD,transmit_bytes,97.89556716329366
karmada,kube-system,coredns-76f75df574-qfcbg,POD,transmit_packets,1.029604280654663
karmada,kube-system,etcd-kubernetes-1,POD,received_bytes,3373.9121308250674
karmada,kube-system,etcd-kubernetes-1,POD,received_packets,26.292029138407198
karmada,kube-system,etcd-kubernetes-1,POD,transmit_bytes,34626.946477004145
karmada,kube-system,etcd-kubernetes-1,POD,transmit_packets,25.207247734164195
karmada,kube-system,kube-apiserver-kubernetes-1,POD,received_bytes,3330.5334532118272
karmada,kube-system,kube-apiserver-kubernetes-1,POD,received_packets,25.756848152454765
karmada,kube-system,kube-apiserver-kubernetes-1,POD,transmit_bytes,35092.65064946753
karmada,kube-system,kube-apiserver-kubernetes-1,POD,transmit_packets,24.722750142741745
karmada,kube-system,kube-controller-manager-kubernetes-1,POD,received_bytes,3397.1044692097116
karmada,kube-system,kube-controller-manager-kubernetes-1,POD,received_packets,26.456094353782103
karmada,kube-system,kube-controller-manager-kubernetes-1,POD,transmit_bytes,36113.32566366974
karmada,kube-system,kube-controller-manager-kubernetes-1,POD,transmit_packets,25.453170873611782
karmada,kube-system,kube-proxy-79mh2,POD,received_bytes,3405.295736819211
karmada,kube-system,kube-proxy-79mh2,POD,received_packets,26.677181182179794
karmada,kube-system,kube-proxy-79mh2,POD,transmit_bytes,36013.6807717711
karmada,kube-system,kube-proxy-79mh2,POD,transmit_packets,25.586734759839867
karmada,kube-system,kube-proxy-8tk6n,POD,received_bytes,257437.1397602364
karmada,kube-system,kube-proxy-8tk6n,POD,received_packets,3992.3787384590128
karmada,kube-system,kube-proxy-8tk6n,POD,transmit_bytes,278374.64466175926
karmada,kube-system,kube-proxy-8tk6n,POD,transmit_packets,4008.04733376257
karmada,kube-system,kube-proxy-9k8wd,POD,received_bytes,263004.7647600379
karmada,kube-system,kube-proxy-9k8wd,POD,received_packets,4000.9659188185396
karmada,kube-system,kube-proxy-9k8wd,POD,transmit_bytes,283871.7054386682
karmada,kube-system,kube-proxy-9k8wd,POD,transmit_packets,4015.0862210525215
karmada,kube-system,kube-proxy-bxpjd,POD,received_bytes,409623.44025645667
karmada,kube-system,kube-proxy-bxpjd,POD,received_packets,5375.576352319315
karmada,kube-system,kube-proxy-bxpjd,POD,transmit_bytes,434182.47166455956
karmada,kube-system,kube-proxy-bxpjd,POD,transmit_packets,5364.155825352948
karmada,kube-system,kube-proxy-dq5zr,POD,received_bytes,398215.0251724411
karmada,kube-system,kube-proxy-dq5zr,POD,received_packets,4974.4013149490775
karmada,kube-system,kube-proxy-dq5zr,POD,transmit_bytes,380315.4253806714
karmada,kube-system,kube-proxy-dq5zr,POD,transmit_packets,4960.1948010817405
karmada,kube-system,kube-proxy-mvv25,POD,received_bytes,169687.23631301205
karmada,kube-system,kube-proxy-mvv25,POD,received_packets,2619.027696830734
