framework,namespace,pod,container,type,value
cluster1,kube-system,calico-node-fttsz,POD,received_bytes,16268.472431239059
cluster1,kube-system,calico-node-fttsz,POD,received_packets,43.56022768833433
cluster1,kube-system,calico-node-fttsz,POD,transmit_bytes,19203.211980143773
cluster1,kube-system,calico-node-fttsz,POD,transmit_packets,43.779940996342475
cluster1,kube-system,calico-node-gwvg9,POD,received_bytes,49573.66277767156
cluster1,kube-system,calico-node-gwvg9,POD,received_packets,51.69834983158512
cluster1,kube-system,calico-node-gwvg9,POD,transmit_bytes,51796.241651164695
cluster1,kube-system,calico-node-gwvg9,POD,transmit_packets,53.61257566695651
cluster1,kube-system,calico-node-ms975,POD,received_bytes,4048.2998647808113
cluster1,kube-system,calico-node-ms975,POD,received_packets,27.798318754443102
cluster1,kube-system,calico-node-ms975,POD,transmit_bytes,36987.922948363914
cluster1,kube-system,calico-node-ms975,POD,transmit_packets,27.015854254392565
cluster1,kube-system,coredns-76f75df574-8246r,POD,received_bytes,102.54506788503011
cluster1,kube-system,coredns-76f75df574-8246r,POD,received_packets,1.1170871380413117
cluster1,kube-system,coredns-76f75df574-8246r,POD,transmit_bytes,92.18817818211812
cluster1,kube-system,coredns-76f75df574-8246r,POD,transmit_packets,0.9522139076758057
cluster1,kube-system,coredns-76f75df574-t7xgq,POD,received_bytes,99.75046292214289
cluster1,kube-system,coredns-76f75df574-t7xgq,POD,received_packets,1.0892720510272778
cluster1,kube-system,coredns-76f75df574-t7xgq,POD,transmit_bytes,89.95389321911735
cluster1,kube-system,coredns-76f75df574-t7xgq,POD,transmit_packets,0.9411952055473399
cluster1,kube-system,etcd-kubernetes-1,POD,received_bytes,3991.891297000633
cluster1,kube-system,etcd-kubernetes-1,POD,received_packets,27.301972486022837
cluster1,kube-system,etcd-kubernetes-1,POD,transmit_bytes,37884.51221622133
cluster1,kube-system,etcd-kubernetes-1,POD,transmit_packets,26.546484210128906
cluster1,kube-system,kube-apiserver-kubernetes-1,POD,received_bytes,4048.113021337187
cluster1,kube-system,kube-apiserver-kubernetes-1,POD,received_packets,27.690847213082474
cluster1,kube-system,kube-apiserver-kubernetes-1,POD,transmit_bytes,37196.58337845854
cluster1,kube-system,kube-apiserver-kubernetes-1,POD,transmit_packets,26.94892129111147
cluster1,kube-system,kube-controller-manager-kubernetes-1,POD,received_bytes,4097.687475864107
cluster1,kube-system,kube-controller-manager-kubernetes-1,POD,received_packets,27.8829325260804
cluster1,kube-system,kube-controller-manager-kubernetes-1,POD,transmit_bytes,38768.52009305512
cluster1,kube-system,kube-controller-manager-kubernetes-1,POD,transmit_packets,27.168654403666352
cluster1,kube-system,kube-multus-ds-6mfb4,POD,received_bytes,51591.83000749216
cluster1,kube-system,kube-multus-ds-6mfb4,POD,received_packets,54.150760390435174
cluster1,kube-system,kube-multus-ds-6mfb4,POD,transmit_bytes,53893.900748314954
cluster1,kube-system,kube-multus-ds-6mfb4,POD,transmit_packets,56.14795060020747
cluster1,kube-system,kube-multus-ds-kh8hj,POD,received_bytes,17804.486624486173
cluster1,kube-system,kube-multus-ds-kh8hj,POD,received_packets,42.551581502370745
cluster1,kube-system,kube-multus-ds-kh8hj,POD,transmit_bytes,20605.08607177716
cluster1,kube-system,kube-multus-ds-kh8hj,POD,transmit_packets,42.782898664651675
cluster1,kube-system,kube-multus-ds-mvqps,POD,received_bytes,4163.177597141421
cluster1,kube-system,kube-multus-ds-mvqps,POD,received_packets,28.305234086971296
cluster1,kube-system,kube-multus-ds-mvqps,POD,transmit_bytes,39057.40244460351
cluster1,kube-system,kube-multus-ds-mvqps,POD,transmit_packets,27.55218254780544
cluster1,kube-system,kube-proxy-4wg6l,POD,received_bytes,18012.22655728783
cluster1,kube-system,kube-proxy-4wg6l,POD,received_packets,42.52438680771433
cluster1,kube-system,kube-proxy-4wg6l,POD,transmit_bytes,20794.99681679616
cluster1,kube-system,kube-proxy-4wg6l,POD,transmit_packets,42.750178888690954
cluster1,kube-system,kube-proxy-c52kf,POD,received_bytes,48612.478003248085
cluster1,kube-system,kube-proxy-c52kf,POD,received_packets,52.922302868775766
cluster1,kube-system,kube-proxy-c52kf,POD,transmit_bytes,50915.06939030832
cluster1,kube-system,kube-proxy-c52kf,POD,transmit_packets,54.83709720911043
cluster1,kube-system,kube-proxy-wwqzp,POD,received_bytes,4122.015840097115
