DeploymentName,PodName,DeploymentTime,Initialized,PodScheduled,ContainersReady,Ready,DeleteTime,FinalizeDeletionTime
nginx-deployment-68,nginx-deployment-68-7486b4468f-jdgch,2024-05-05T11:33:08+02:00,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05T11:33:49+02:00,2024-05-05T11:33:49+02:00
nginx-deployment-78,nginx-deployment-78-76d6566488-m9tfh,2024-05-05T11:33:10+02:00,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:14 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05 11:33:15 +0200 CEST,2024-05-05T11:33:51+02:00,2024-05-05T11:33:51+02:00
nginx-deployment-96,nginx-deployment-96-6cbd7bd45b-6mpd6,2024-05-05T11:33:14+02:00,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:18 +0200 CEST,2024-05-05 11:33:20 +0200 CEST,2024-05-05 11:33:20 +0200 CEST,2024-05-05T11:33:55+02:00,2024-05-05T11:33:55+02:00
nginx-deployment-100,nginx-deployment-100-d786db45d-n8fk5,2024-05-05T11:33:14+02:00,2024-05-05 11:33:19 +0200 CEST,2024-05-05 11:33:19 +0200 CEST,2024-05-05 11:33:20 +0200 CEST,2024-05-05 11:33:20 +0200 CEST,2024-05-05T11:33:55+02:00,2024-05-05T11:33:55+02:00
nginx-deployment-10,nginx-deployment-10-9c4b5645d-l869t,2024-05-05T11:32:57+02:00,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:57 +0200 CEST,2024-05-05 11:32:59 +0200 CEST,2024-05-05 11:32:59 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-25,nginx-deployment-25-5c944fd9f4-fkx8t,2024-05-05T11:32:59+02:00,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05T11:33:40+02:00,2024-05-05T11:33:40+02:00
nginx-deployment-31,nginx-deployment-31-79f4c89fcf-x7t2s,2024-05-05T11:33:01+02:00,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05T11:33:42+02:00,2024-05-05T11:33:42+02:00
nginx-deployment-50,nginx-deployment-50-7f57bf6f54-25hcl,2024-05-05T11:33:04+02:00,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05T11:33:46+02:00,2024-05-05T11:33:46+02:00
nginx-deployment-66,nginx-deployment-66-55f57b547-9bm4f,2024-05-05T11:33:08+02:00,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:12 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05 11:33:13 +0200 CEST,2024-05-05T11:33:49+02:00,2024-05-05T11:33:49+02:00
nginx-deployment-12,nginx-deployment-12-5bfcc6dc4d-2xg7w,2024-05-05T11:32:57+02:00,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:58 +0200 CEST,2024-05-05 11:32:59 +0200 CEST,2024-05-05 11:32:59 +0200 CEST,2024-05-05T11:33:38+02:00,2024-05-05T11:33:38+02:00
nginx-deployment-27,nginx-deployment-27-99c885fbd-9twq2,2024-05-05T11:33:00+02:00,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:02 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05 11:33:03 +0200 CEST,2024-05-05T11:33:41+02:00,2024-05-05T11:33:41+02:00
nginx-deployment-35,nginx-deployment-35-59b7b7dcf5-lmrt5,2024-05-05T11:33:02+02:00,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:04 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05 11:33:05 +0200 CEST,2024-05-05T11:33:43+02:00,2024-05-05T11:33:43+02:00
nginx-deployment-48,nginx-deployment-48-65567d5d47-f4vlp,2024-05-05T11:33:04+02:00,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:07 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05 11:33:08 +0200 CEST,2024-05-05T11:33:45+02:00,2024-05-05T11:33:45+02:00
nginx-deployment-56,nginx-deployment-56-6f8865fcdd-t47c9,2024-05-05T11:33:06+02:00,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05 11:33:10 +0200 CEST,2024-05-05T11:33:47+02:00,2024-05-05T11:33:47+02:00
nginx-deployment-59,nginx-deployment-59-77c88f5b77-vl5l9,2024-05-05T11:33:06+02:00,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:09 +0200 CEST,2024-05-05 11:33:11 +0200 CEST,2024-05-05 11:33:11 +0200 CEST,2024-05-05T11:33:47+02:00,2024-05-05T11:33:47+02:00
