framework,namespace,pod,container,type,network_type,value
karmada,default,management-overhead-server-3-6c4df7849c-x4dmq,POD,received_packets,kubernetes,892.3666104150888
karmada,default,management-overhead-server-3-6c4df7849c-x4dmq,POD,transmit_bytes,kubernetes,59346.1397448985
karmada,default,management-overhead-server-3-6c4df7849c-x4dmq,POD,transmit_packets,kubernetes,885.6736724520342
karmada,default,management-overhead-server-4-5c8b69944-q2vmp,POD,received_bytes,kubernetes,14815.593924795287
karmada,default,management-overhead-server-4-5c8b69944-q2vmp,POD,received_packets,kubernetes,221.61151723720585
karmada,default,management-overhead-server-4-5c8b69944-q2vmp,POD,transmit_bytes,kubernetes,14679.264928836312
karmada,default,management-overhead-server-4-5c8b69944-q2vmp,POD,transmit_packets,kubernetes,219.06980494947956
karmada,default,management-overhead-server-5-7cbfb958b7-54hs8,POD,received_bytes,kubernetes,60121.04173241419
karmada,default,management-overhead-server-5-7cbfb958b7-54hs8,POD,received_packets,kubernetes,898.1299584892089
karmada,default,management-overhead-server-5-7cbfb958b7-54hs8,POD,transmit_bytes,kubernetes,60306.352422973585
karmada,default,management-overhead-server-5-7cbfb958b7-54hs8,POD,transmit_packets,kubernetes,900.1500419853787
karmada,default,management-overhead-server-6-6d5bc95bf4-bsmjw,POD,received_bytes,kubernetes,22357.738076194746
karmada,default,management-overhead-server-6-6d5bc95bf4-bsmjw,POD,received_packets,kubernetes,334.6871460595828
karmada,default,management-overhead-server-6-6d5bc95bf4-bsmjw,POD,transmit_bytes,kubernetes,22133.498698041225
karmada,default,management-overhead-server-6-6d5bc95bf4-bsmjw,POD,transmit_packets,kubernetes,330.4144564138589
karmada,default,management-overhead-server-7-5ddd44945-wh7m5,POD,received_bytes,kubernetes,57893.0004237057
karmada,default,management-overhead-server-7-5ddd44945-wh7m5,POD,received_packets,kubernetes,864.2508860607327
karmada,default,management-overhead-server-7-5ddd44945-wh7m5,POD,transmit_bytes,kubernetes,57994.221125350414
karmada,default,management-overhead-server-7-5ddd44945-wh7m5,POD,transmit_packets,kubernetes,865.0240815140887
karmada,default,management-overhead-server-8-785bbc876d-22b8k,POD,received_bytes,kubernetes,59355.66992538768
karmada,default,management-overhead-server-8-785bbc876d-22b8k,POD,received_packets,kubernetes,886.6396555245792
karmada,default,management-overhead-server-8-785bbc876d-22b8k,POD,transmit_bytes,kubernetes,58969.574993546594
karmada,default,management-overhead-server-8-785bbc876d-22b8k,POD,transmit_packets,kubernetes,880.0230877111827
karmada,default,management-overhead-server-9-68c4f79cb7-nrwzf,POD,received_bytes,kubernetes,14937.525759382057
karmada,default,management-overhead-server-9-68c4f79cb7-nrwzf,POD,received_packets,kubernetes,223.49399983532967
karmada,default,management-overhead-server-9-68c4f79cb7-nrwzf,POD,transmit_bytes,kubernetes,14800.870524846272
