DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-undeploy-test-20,deploy-undeploy-test-20-5968558f44-bkwsm,2024-05-17T12:56:31+02:00,2024-05-17 12:56:31 +0200 CEST,2024-05-17 12:56:31 +0200 CEST,2024-05-17 12:56:33 +0200 CEST,2024-05-17 12:56:33 +0200 CEST,2024-05-17 12:56:33 +0200 CEST,2024-05-17T12:58:04+02:00,2024-05-17T12:58:05+02:00
deploy-undeploy-test-27,deploy-undeploy-test-27-58d6995b87-xvgv7,2024-05-17T12:56:35+02:00,2024-05-17 12:56:35 +0200 CEST,2024-05-17 12:56:35 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17T12:58:08+02:00,2024-05-17T12:58:09+02:00
deploy-undeploy-test-35,deploy-undeploy-test-35-57ddc8846b-84m4n,2024-05-17T12:56:40+02:00,2024-05-17 12:56:40 +0200 CEST,2024-05-17 12:56:40 +0200 CEST,2024-05-17 12:56:41 +0200 CEST,2024-05-17 12:56:41 +0200 CEST,2024-05-17 12:56:41 +0200 CEST,2024-05-17T12:58:12+02:00,2024-05-17T12:58:14+02:00
deploy-undeploy-test-64,deploy-undeploy-test-64-7db66c99b8-fl8jq,2024-05-17T12:56:58+02:00,2024-05-17 12:56:58 +0200 CEST,2024-05-17 12:56:58 +0200 CEST,2024-05-17 12:57:00 +0200 CEST,2024-05-17 12:57:00 +0200 CEST,2024-05-17 12:57:00 +0200 CEST,2024-05-17T12:58:25+02:00,2024-05-17T12:58:26+02:00
deploy-undeploy-test-78,deploy-undeploy-test-78-5574cfc895-gqpq6,2024-05-17T12:57:06+02:00,2024-05-17 12:57:06 +0200 CEST,2024-05-17 12:57:06 +0200 CEST,2024-05-17 12:57:08 +0200 CEST,2024-05-17 12:57:08 +0200 CEST,2024-05-17 12:57:08 +0200 CEST,2024-05-17T12:58:30+02:00,2024-05-17T12:58:31+02:00
deploy-undeploy-test-85,deploy-undeploy-test-85-74f96d5dcf-ff7jl,2024-05-17T12:57:11+02:00,2024-05-17 12:57:11 +0200 CEST,2024-05-17 12:57:11 +0200 CEST,2024-05-17 12:57:12 +0200 CEST,2024-05-17 12:57:12 +0200 CEST,2024-05-17 12:57:12 +0200 CEST,2024-05-17T12:58:33+02:00,2024-05-17T12:58:34+02:00
deploy-undeploy-test-28,deploy-undeploy-test-28-798cd97544-fn9jq,2024-05-17T12:56:35+02:00,2024-05-17 12:56:35 +0200 CEST,2024-05-17 12:56:35 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17 12:56:37 +0200 CEST,2024-05-17T12:58:08+02:00,2024-05-17T12:58:09+02:00
deploy-undeploy-test-48,deploy-undeploy-test-48-58f8779474-tsx7p,2024-05-17T12:56:47+02:00,2024-05-17 12:56:48 +0200 CEST,2024-05-17 12:56:48 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17 12:56:49 +0200 CEST,2024-05-17T12:58:18+02:00,2024-05-17T12:58:19+02:00
deploy-undeploy-test-55,deploy-undeploy-test-55-6ddf6ccb96-qzpj2,2024-05-17T12:56:52+02:00,2024-05-17 12:56:52 +0200 CEST,2024-05-17 12:56:52 +0200 CEST,2024-05-17 12:56:54 +0200 CEST,2024-05-17 12:56:54 +0200 CEST,2024-05-17 12:56:54 +0200 CEST,2024-05-17T12:58:21+02:00,2024-05-17T12:58:22+02:00
deploy-undeploy-test-58,deploy-undeploy-test-58-584d44dbb9-dkhnn,2024-05-17T12:56:54+02:00,2024-05-17 12:56:54 +0200 CEST,2024-05-17 12:56:54 +0200 CEST,2024-05-17 12:56:56 +0200 CEST,2024-05-17 12:56:56 +0200 CEST,2024-05-17 12:56:56 +0200 CEST,2024-05-17T12:58:22+02:00,2024-05-17T12:58:23+02:00
deploy-undeploy-test-60,deploy-undeploy-test-60-5cd8d5b564-vrcjq,2024-05-17T12:56:56+02:00,2024-05-17 12:56:56 +0200 CEST,2024-05-17 12:56:56 +0200 CEST,2024-05-17 12:56:57 +0200 CEST,2024-05-17 12:56:57 +0200 CEST,2024-05-17 12:56:57 +0200 CEST,2024-05-17T12:58:23+02:00,2024-05-17T12:58:25+02:00
deploy-undeploy-test-89,deploy-undeploy-test-89-85bb859cdc-57xk9,2024-05-17T12:57:13+02:00,2024-05-17 12:57:13 +0200 CEST,2024-05-17 12:57:13 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17T12:58:35+02:00,2024-05-17T12:58:35+02:00
deploy-undeploy-test-16,deploy-undeploy-test-16-67b974b879-zmmsc,2024-05-17T12:56:28+02:00,2024-05-17 12:56:28 +0200 CEST,2024-05-17 12:56:28 +0200 CEST,2024-05-17 12:56:29 +0200 CEST,2024-05-17 12:56:29 +0200 CEST,2024-05-17 12:56:29 +0200 CEST,2024-05-17T12:58:01+02:00,2024-05-17T12:58:02+02:00
deploy-undeploy-test-32,deploy-undeploy-test-32-6b6bfd78b5-pd962,2024-05-17T12:56:38+02:00,2024-05-17 12:56:38 +0200 CEST,2024-05-17 12:56:38 +0200 CEST,2024-05-17 12:56:40 +0200 CEST,2024-05-17 12:56:40 +0200 CEST,2024-05-17 12:56:40 +0200 CEST,2024-05-17T12:58:11+02:00,2024-05-17T12:58:12+02:00
deploy-undeploy-test-4,deploy-undeploy-test-4-749c84bf4b-xwb7l,2024-05-17T12:56:42+02:00,2024-05-17 12:56:42 +0200 CEST,2024-05-17 12:56:42 +0200 CEST,2024-05-17 12:56:44 +0200 CEST,2024-05-17 12:56:44 +0200 CEST,2024-05-17 12:56:44 +0200 CEST,2024-05-17T12:58:15+02:00,2024-05-17T12:58:16+02:00
deploy-undeploy-test-76,deploy-undeploy-test-76-699dddfb6f-blllj,2024-05-17T12:57:05+02:00,2024-05-17 12:57:05 +0200 CEST,2024-05-17 12:57:05 +0200 CEST,2024-05-17 12:57:07 +0200 CEST,2024-05-17 12:57:08 +0200 CEST,2024-05-17 12:57:08 +0200 CEST,2024-05-17T12:58:30+02:00,2024-05-17T12:58:30+02:00
deploy-undeploy-test-90,deploy-undeploy-test-90-86d5d49f69-crjrh,2024-05-17T12:57:14+02:00,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:16 +0200 CEST,2024-05-17 12:57:16 +0200 CEST,2024-05-17 12:57:16 +0200 CEST,2024-05-17T12:58:35+02:00,2024-05-17T12:58:36+02:00
deploy-undeploy-test-97,deploy-undeploy-test-97-c55cb46d6-pggzd,2024-05-17T12:57:17+02:00,2024-05-17 12:57:17 +0200 CEST,2024-05-17 12:57:17 +0200 CEST,2024-05-17 12:57:19 +0200 CEST,2024-05-17 12:57:20 +0200 CEST,2024-05-17 12:57:20 +0200 CEST,2024-05-17T12:58:38+02:00,2024-05-17T12:58:39+02:00
deploy-undeploy-test-36,deploy-undeploy-test-36-84bb59c6f-tb88f,2024-05-17T12:56:40+02:00,2024-05-17 12:56:40 +0200 CEST,2024-05-17 12:56:41 +0200 CEST,2024-05-17 12:56:42 +0200 CEST,2024-05-17 12:56:42 +0200 CEST,2024-05-17 12:56:42 +0200 CEST,2024-05-17T12:58:13+02:00,2024-05-17T12:58:13+02:00
deploy-undeploy-test-40,deploy-undeploy-test-40-df595b56b-zw9h6,2024-05-17T12:56:43+02:00,2024-05-17 12:56:43 +0200 CEST,2024-05-17 12:56:43 +0200 CEST,2024-05-17 12:56:46 +0200 CEST,2024-05-17 12:56:46 +0200 CEST,2024-05-17 12:56:46 +0200 CEST,2024-05-17T12:58:15+02:00,2024-05-17T12:58:16+02:00
deploy-undeploy-test-46,deploy-undeploy-test-46-7857dbc84d-vv7qt,2024-05-17T12:56:46+02:00,2024-05-17 12:56:46 +0200 CEST,2024-05-17 12:56:46 +0200 CEST,2024-05-17 12:56:48 +0200 CEST,2024-05-17 12:56:48 +0200 CEST,2024-05-17 12:56:48 +0200 CEST,2024-05-17T12:58:17+02:00,2024-05-17T12:58:18+02:00
deploy-undeploy-test-67,deploy-undeploy-test-67-59db96dfbc-hbz2d,2024-05-17T12:56:59+02:00,2024-05-17 12:57:00 +0200 CEST,2024-05-17 12:57:00 +0200 CEST,2024-05-17 12:57:02 +0200 CEST,2024-05-17 12:57:02 +0200 CEST,2024-05-17 12:57:02 +0200 CEST,2024-05-17T12:58:26+02:00,2024-05-17T12:58:27+02:00
deploy-undeploy-test-87,deploy-undeploy-test-87-65db887c4f-5zclh,2024-05-17T12:57:12+02:00,2024-05-17 12:57:12 +0200 CEST,2024-05-17 12:57:12 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17T12:58:34+02:00,2024-05-17T12:58:35+02:00
deploy-undeploy-test-91,deploy-undeploy-test-91-d68bf8c68-sbl4c,2024-05-17T12:57:14+02:00,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:14 +0200 CEST,2024-05-17 12:57:16 +0200 CEST,2024-05-17 12:57:17 +0200 CEST,2024-05-17 12:57:17 +0200 CEST,2024-05-17T12:58:36+02:00,2024-05-17T12:58:37+02:00
