DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy-undeploy-test-90,deploy-undeploy-test-90-86d5d49f69-mc4c8,2024-05-18T12:06:21+02:00,2024-05-18 12:06:32 +0200 CEST,2024-05-18 12:06:32 +0200 CEST,2024-05-18 12:06:34 +0200 CEST,2024-05-18 12:06:34 +0200 CEST,2024-05-18 12:06:34 +0200 CEST,2024-05-18T12:08:13+02:00,2024-05-18T12:08:13+02:00
deploy-undeploy-test-99,deploy-undeploy-test-99-589649d776-655fc,2024-05-18T12:06:26+02:00,2024-05-18 12:06:37 +0200 CEST,2024-05-18 12:06:37 +0200 CEST,2024-05-18 12:06:38 +0200 CEST,2024-05-18 12:06:38 +0200 CEST,2024-05-18 12:06:38 +0200 CEST,2024-05-18T12:08:22+02:00,2024-05-18T12:08:23+02:00
deploy-undeploy-test-72,deploy-undeploy-test-72-59c888649c-rzpmk,2024-05-18T12:06:12+02:00,2024-05-18 12:06:20 +0200 CEST,2024-05-18 12:06:20 +0200 CEST,2024-05-18 12:06:22 +0200 CEST,2024-05-18 12:06:22 +0200 CEST,2024-05-18 12:06:22 +0200 CEST,2024-05-18T12:07:53+02:00,2024-05-18T12:07:53+02:00
deploy-undeploy-test-59,deploy-undeploy-test-59-5b55bc44c6-dbrg2,2024-05-18T12:06:04+02:00,2024-05-18 12:06:11 +0200 CEST,2024-05-18 12:06:11 +0200 CEST,2024-05-18 12:06:13 +0200 CEST,2024-05-18 12:06:13 +0200 CEST,2024-05-18 12:06:13 +0200 CEST,2024-05-18T12:07:38+02:00,2024-05-18T12:07:39+02:00
deploy-undeploy-test-88,deploy-undeploy-test-88-778b46b86b-6rrvn,2024-05-18T12:06:20+02:00,2024-05-18 12:06:31 +0200 CEST,2024-05-18 12:06:31 +0200 CEST,2024-05-18 12:06:32 +0200 CEST,2024-05-18 12:06:46 +0200 CEST,2024-05-18 12:06:46 +0200 CEST,2024-05-18T12:08:11+02:00,2024-05-18T12:08:11+02:00
deploy-undeploy-test-9,deploy-undeploy-test-9-6d4bbb679f-5mw5s,2024-05-18T12:06:21+02:00,2024-05-18 12:06:32 +0200 CEST,2024-05-18 12:06:32 +0200 CEST,2024-05-18 12:06:33 +0200 CEST,2024-05-18 12:06:34 +0200 CEST,2024-05-18 12:06:34 +0200 CEST,2024-05-18T12:08:12+02:00,2024-05-18T12:08:13+02:00
deploy-undeploy-test-21,deploy-undeploy-test-21-5c989c66cc-9pr7j,2024-05-18T12:05:45+02:00,2024-05-18 12:05:47 +0200 CEST,2024-05-18 12:05:47 +0200 CEST,2024-05-18 12:05:49 +0200 CEST,2024-05-18 12:05:49 +0200 CEST,2024-05-18 12:05:49 +0200 CEST,2024-05-18T12:07:10+02:00,2024-05-18T12:07:11+02:00
deploy-undeploy-test-38,deploy-undeploy-test-38-77ffd78fff-xjx4c,2024-05-18T12:05:52+02:00,2024-05-18 12:05:58 +0200 CEST,2024-05-18 12:05:58 +0200 CEST,2024-05-18 12:05:59 +0200 CEST,2024-05-18 12:05:59 +0200 CEST,2024-05-18 12:05:59 +0200 CEST,2024-05-18T12:07:19+02:00,2024-05-18T12:07:19+02:00
deploy-undeploy-test-65,deploy-undeploy-test-65-75bdd8787c-bgn8g,2024-05-18T12:06:08+02:00,2024-05-18 12:06:15 +0200 CEST,2024-05-18 12:06:15 +0200 CEST,2024-05-18 12:06:17 +0200 CEST,2024-05-18 12:06:17 +0200 CEST,2024-05-18 12:06:17 +0200 CEST,2024-05-18T12:07:45+02:00,2024-05-18T12:07:45+02:00
deploy-undeploy-test-68,deploy-undeploy-test-68-7db7c9f7b4-xzhmk,2024-05-18T12:06:09+02:00,2024-05-18 12:06:17 +0200 CEST,2024-05-18 12:06:17 +0200 CEST,2024-05-18 12:06:19 +0200 CEST,2024-05-18 12:06:19 +0200 CEST,2024-05-18 12:06:19 +0200 CEST,2024-05-18T12:07:48+02:00,2024-05-18T12:07:48+02:00
