pod,instance,timestamp,value
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934618.494,5438122.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934619.494,5438122.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934620.494,5438122.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934621.494,5438122.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934622.494,5438122.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934623.494,5459968
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934624.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934625.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934626.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934627.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934628.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934629.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934630.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934631.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934632.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934633.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934634.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934635.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934636.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934637.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934638.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934639.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934640.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934641.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934642.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934643.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934644.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934645.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934646.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934647.494,5461333.333333333
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934648.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934649.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934650.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934651.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934652.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934653.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934654.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934655.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934656.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934657.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934658.494,5476352
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934659.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934660.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934661.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934662.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934663.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934664.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934665.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934666.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934667.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934668.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934669.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934670.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934671.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934672.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934673.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934674.494,5606058.666666667
kube-prometheus-stack-prometheus-node-exporter-55gws,10.100.253.99:10250,1715934675.494,5606058.666666667
