DeploymentName,PodName,DeploymentTime,PodScheduled,Initialized,PodReadyToStartContainers,ContainersReady,Ready,DeleteTime,CleanUpTime
deploy.evaluation.gosigterm.evaluation.29,deploy.evaluation.gosigterm.evaluation.29-84cb8b4574-7kfsv,2024-05-30T15:49:28+02:00,2024-05-30 15:49:30 +0200 CEST,2024-05-30 15:49:30 +0200 CEST,2024-05-30 15:49:32 +0200 CEST,2024-05-30 15:49:32 +0200 CEST,2024-05-30 15:49:32 +0200 CEST,2024-05-30T15:51:04+02:00,2024-05-30T15:51:10+02:00
deploy.evaluation.gosigterm.evaluation.34,deploy.evaluation.gosigterm.evaluation.34-54c998d678-lw5s8,2024-05-30T15:49:31+02:00,2024-05-30 15:49:33 +0200 CEST,2024-05-30 15:49:33 +0200 CEST,2024-05-30 15:49:36 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30T15:51:05+02:00,2024-05-30T15:51:10+02:00
deploy.evaluation.gosigterm.evaluation.35,deploy.evaluation.gosigterm.evaluation.35-77bc89998b-lfpr6,2024-05-30T15:49:32+02:00,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30T15:51:06+02:00,2024-05-30T15:51:10+02:00
deploy.evaluation.gosigterm.evaluation.59,deploy.evaluation.gosigterm.evaluation.59-5db5ccb64b-nw8r6,2024-05-30T15:49:47+02:00,2024-05-30 15:49:53 +0200 CEST,2024-05-30 15:49:53 +0200 CEST,2024-05-30 15:49:55 +0200 CEST,2024-05-30 15:49:55 +0200 CEST,2024-05-30 15:49:55 +0200 CEST,2024-05-30T15:51:16+02:00,2024-05-30T15:51:21+02:00
deploy.evaluation.gosigterm.evaluation.94,deploy.evaluation.gosigterm.evaluation.94-78f694dc66-z6qtb,2024-05-30T15:50:08+02:00,2024-05-30 15:50:17 +0200 CEST,2024-05-30 15:50:17 +0200 CEST,2024-05-30 15:50:19 +0200 CEST,2024-05-30 15:50:19 +0200 CEST,2024-05-30 15:50:19 +0200 CEST,2024-05-30T15:51:30+02:00,2024-05-30T15:51:32+02:00
deploy.evaluation.gosigterm.evaluation.12,deploy.evaluation.gosigterm.evaluation.12-7fb8f9cd78-vr86w,2024-05-30T15:49:16+02:00,2024-05-30 15:49:16 +0200 CEST,2024-05-30 15:49:16 +0200 CEST,2024-05-30 15:49:18 +0200 CEST,2024-05-30 15:49:18 +0200 CEST,2024-05-30 15:49:18 +0200 CEST,2024-05-30T15:50:56+02:00,2024-05-30T15:51:02+02:00
deploy.evaluation.gosigterm.evaluation.36,deploy.evaluation.gosigterm.evaluation.36-57b57569b6-tmv74,2024-05-30T15:49:32+02:00,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30 15:49:38 +0200 CEST,2024-05-30 15:49:38 +0200 CEST,2024-05-30T15:51:06+02:00,2024-05-30T15:51:14+02:00
deploy.evaluation.gosigterm.evaluation.41,deploy.evaluation.gosigterm.evaluation.41-565b86f578-sxstz,2024-05-30T15:49:33+02:00,2024-05-30 15:49:37 +0200 CEST,2024-05-30 15:49:37 +0200 CEST,2024-05-30 15:49:39 +0200 CEST,2024-05-30 15:49:39 +0200 CEST,2024-05-30 15:49:39 +0200 CEST,2024-05-30T15:51:08+02:00,2024-05-30T15:51:14+02:00
deploy.evaluation.gosigterm.evaluation.47,deploy.evaluation.gosigterm.evaluation.47-684dd4bcc4-8dz2p,2024-05-30T15:49:44+02:00,2024-05-30 15:49:47 +0200 CEST,2024-05-30 15:49:47 +0200 CEST,2024-05-30 15:49:49 +0200 CEST,2024-05-30 15:49:49 +0200 CEST,2024-05-30 15:49:49 +0200 CEST,2024-05-30T15:51:11+02:00,2024-05-30T15:51:17+02:00
deploy.evaluation.gosigterm.evaluation.48,deploy.evaluation.gosigterm.evaluation.48-7f754d5c9d-ghn8n,2024-05-30T15:49:44+02:00,2024-05-30 15:49:47 +0200 CEST,2024-05-30 15:49:47 +0200 CEST,2024-05-30 15:49:48 +0200 CEST,2024-05-30 15:49:48 +0200 CEST,2024-05-30 15:49:48 +0200 CEST,2024-05-30T15:51:11+02:00,2024-05-30T15:51:17+02:00
deploy.evaluation.gosigterm.evaluation.1,deploy.evaluation.gosigterm.evaluation.1-84b494c446-fg2td,2024-05-30T15:49:12+02:00,2024-05-30 15:49:13 +0200 CEST,2024-05-30 15:49:13 +0200 CEST,2024-05-30 15:49:14 +0200 CEST,2024-05-30 15:49:14 +0200 CEST,2024-05-30 15:49:14 +0200 CEST,2024-05-30T15:50:53+02:00,2024-05-30T15:51:03+02:00
deploy.evaluation.gosigterm.evaluation.31,deploy.evaluation.gosigterm.evaluation.31-6bb947d94b-wj572,2024-05-30T15:49:31+02:00,2024-05-30 15:49:33 +0200 CEST,2024-05-30 15:49:33 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30 15:49:35 +0200 CEST,2024-05-30T15:51:04+02:00,2024-05-30T15:51:11+02:00
deploy.evaluation.gosigterm.evaluation.50,deploy.evaluation.gosigterm.evaluation.50-65f9466f74-rh4lj,2024-05-30T15:49:44+02:00,2024-05-30 15:49:47 +0200 CEST,2024-05-30 15:49:47 +0200 CEST,2024-05-30 15:49:49 +0200 CEST,2024-05-30 15:49:49 +0200 CEST,2024-05-30 15:49:49 +0200 CEST,2024-05-30T15:51:12+02:00,2024-05-30T15:51:16+02:00
deploy.evaluation.gosigterm.evaluation.52,deploy.evaluation.gosigterm.evaluation.52-787c95f4fd-hkxz6,2024-05-30T15:49:45+02:00,2024-05-30 15:49:50 +0200 CEST,2024-05-30 15:49:50 +0200 CEST,2024-05-30 15:49:51 +0200 CEST,2024-05-30 15:49:51 +0200 CEST,2024-05-30 15:49:51 +0200 CEST,2024-05-30T15:51:13+02:00,2024-05-30T15:51:19+02:00
deploy.evaluation.gosigterm.evaluation.54,deploy.evaluation.gosigterm.evaluation.54-6d64fc5f66-fnrrc,2024-05-30T15:49:45+02:00,2024-05-30 15:49:50 +0200 CEST,2024-05-30 15:49:50 +0200 CEST,2024-05-30 15:49:51 +0200 CEST,2024-05-30 15:49:51 +0200 CEST,2024-05-30 15:49:51 +0200 CEST,2024-05-30T15:51:14+02:00,2024-05-30T15:51:19+02:00
deploy.evaluation.gosigterm.evaluation.84,deploy.evaluation.gosigterm.evaluation.84-57cd8db4b6-v6wq8,2024-05-30T15:50:05+02:00,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:14 +0200 CEST,2024-05-30 15:50:14 +0200 CEST,2024-05-30 15:50:14 +0200 CEST,2024-05-30T15:51:26+02:00,2024-05-30T15:51:30+02:00
deploy.evaluation.gosigterm.evaluation.87,deploy.evaluation.gosigterm.evaluation.87-76d99bf678-27mwp,2024-05-30T15:50:06+02:00,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:12 +0200 CEST,2024-05-30 15:50:15 +0200 CEST,2024-05-30 15:50:15 +0200 CEST,2024-05-30 15:50:15 +0200 CEST,2024-05-30T15:51:27+02:00,2024-05-30T15:51:30+02:00
deploy.evaluation.gosigterm.evaluation.10,deploy.evaluation.gosigterm.evaluation.10-65b69b9cd-gs97q,2024-05-30T15:49:15+02:00,2024-05-30 15:49:16 +0200 CEST,2024-05-30 15:49:16 +0200 CEST,2024-05-30 15:49:18 +0200 CEST,2024-05-30 15:49:18 +0200 CEST,2024-05-30 15:49:18 +0200 CEST,2024-05-30T15:50:55+02:00,2024-05-30T15:51:03+02:00
deploy.evaluation.gosigterm.evaluation.32,deploy.evaluation.gosigterm.evaluation.32-76c9985bbb-q6gxp,2024-05-30T15:49:31+02:00,2024-05-30 15:49:33 +0200 CEST,2024-05-30 15:49:33 +0200 CEST,2024-05-30 15:49:36 +0200 CEST,2024-05-30 15:49:36 +0200 CEST,2024-05-30 15:49:36 +0200 CEST,2024-05-30T15:51:04+02:00,2024-05-30T15:51:11+02:00
deploy.evaluation.gosigterm.evaluation.51,deploy.evaluation.gosigterm.evaluation.51-5964d9976b-gdg4x,2024-05-30T15:49:44+02:00,2024-05-30 15:49:49 +0200 CEST,2024-05-30 15:49:49 +0200 CEST,2024-05-30 15:49:51 +0200 CEST,2024-05-30 15:49:52 +0200 CEST,2024-05-30 15:49:52 +0200 CEST,2024-05-30T15:51:12+02:00,2024-05-30T15:51:17+02:00
deploy.evaluation.gosigterm.evaluation.74,deploy.evaluation.gosigterm.evaluation.74-68686ddc8-xqwqv,2024-05-30T15:50:01+02:00,2024-05-30 15:50:08 +0200 CEST,2024-05-30 15:50:08 +0200 CEST,2024-05-30 15:50:09 +0200 CEST,2024-05-30 15:50:09 +0200 CEST,2024-05-30 15:50:09 +0200 CEST,2024-05-30T15:51:22+02:00,2024-05-30T15:51:26+02:00
